DISTRICT NAME,TOTAL NUMBER OF SCHOOLS,TOTAL STUDENTS,STUDENTS: % AFRICAN AMERICAN,STUDENTS: % HISPANIC,STUDENTS: % WHITE,STUDENTS: % AMERICAN INDIAN,STUDENTS: % ASIAN,STUDENTS: % PACIFIC ISLANDER,STUDENTS: % TWO OR MORE RACES,STUDENTS: % ECONOMICALLY DISADVANTAGED,STUDENTS: % ENGLISH LEARNERS (EL),STUDENTS: % SPECIAL EDUCATION,STUDENTS: % BILINGUAL/ESL EDUCATION,STUDENTS: % CAREER & TECHNICAL EDUCATION,STUDENTS: % GIFTED & TALENTED EDUCATION
CAYUGA ISD,3,574,4.4,11.5,79.1,0,0.5,0,4.5,40.8,1,14.6,1,30.5,6.1
ELKHART ISD,4,1150,4,11.8,80.3,0.3,0.2,0,3.4,45.4,2.8,12.1,2.7,31.8,4.6
FRANKSTON ISD,3,808,8.5,11.3,75.2,0.4,1,0,3.6,54.2,4.1,13.1,4.1,43.9,7.3
NECHES ISD,2,342,8.2,13.5,75.1,0.3,0.3,0,2.6,54.1,2,10.5,2,29.5,5.6
PALESTINE ISD,6,3360,25.1,42.9,27.3,0.2,0.7,0.1,3.7,81.6,17.7,13.5,16.1,30.6,2.3
WESTWOOD ISD,4,1332,19.7,26.2,48,0.7,0.5,0.1,4.9,74,7.1,14.5,6.8,38.7,3.2
SLOCUM ISD,2,361,0.3,8.6,87,0,0.6,0,3.6,46.8,0.6,14.7,0.6,37.7,3.3
ANDREWS ISD,6,4131,0.8,68.7,28.2,0.3,0.3,0,1.7,49.6,14.2,10.4,15.2,24.8,6.8
PINEYWOODS COMMUNITY ACADEMY,4,995,15.7,31.2,48.5,0.1,1,0.1,3.4,57.8,5.1,11.6,5,18.9,9.2
HUDSON ISD,5,2799,7.2,27.9,60.6,0.3,1,0.1,3,50.1,6.9,11.9,6,34.4,6
LUFKIN ISD,17,7318,28.7,43.1,24,0.1,1.1,0.1,3,85.8,20.5,12.6,26.9,26.2,13
HUNTINGTON ISD,5,1612,2.4,6.6,87,0.3,0.1,0.2,3.2,58.6,1.2,16.3,1.2,27,3.9
DIBOLL ISD,6,1744,12.3,51.5,33.5,0.1,0.3,0,2.2,70.6,15.4,12.3,14.9,28.4,3.6
ZAVALLA ISD,2,300,0.3,4.3,91,0,0,0,4.3,68.7,0,15.3,0,29,3.7
CENTRAL ISD,4,1451,3.7,21.2,71.7,0.1,0,0,3.3,56.4,5,15.1,4.9,27.3,5.7
ARANSAS COUNTY ISD,4,3005,1.3,44.1,49.6,0.3,2,0.1,2.7,66.9,5,14.2,5,19.9,4.6
ARCHER CITY ISD,2,506,1.2,13.6,81.6,0.6,0,0,3,41.1,2.2,14.6,2.2,28.1,5.3
HOLLIDAY ISD,3,1126,0.4,8.8,86.6,0.8,0.1,0,3.4,24.7,0.5,11.1,0.5,25,6.2
WINDTHORST ISD,3,530,0.8,25.1,72.8,0.6,0.4,0,0.4,30,5.7,7.5,6,28.1,7
CLAUDE ISD,1,307,0.7,14.7,79.5,1,0,0,4.2,36.2,1,9.8,1,37.5,6.5
CHARLOTTE ISD,3,397,0,87.2,12.6,0,0,0,0.3,68.5,6.5,14.1,6.3,29.2,4.5
JOURDANTON ISD,7,1569,0.4,61.1,37,0.3,0.3,0,1,55.3,3.1,14.7,2.9,23.9,4.4
LYTLE ISD,5,1740,0.6,82.4,15.9,0.2,0.2,0,0.7,74,14.7,11.3,14.2,28.2,2.6
PLEASANTON ISD,6,3374,0.7,69.6,27.6,0.4,0.5,0.1,1.2,66.1,5.2,12.7,4.8,34.5,4.5
POTEET ISD,4,1676,0.4,87.6,11.5,0,0.1,0,0.4,71.7,8.1,12.3,10.6,27.6,4.7
BELLVILLE ISD,5,2191,7.2,31.4,57.9,0.2,0.3,0.1,2.8,45.3,9.7,12.8,9.5,27.4,11.5
SEALY ISD,4,2814,8.2,52.9,34.8,0.2,0.7,0.1,3.1,60.3,16.9,13.7,17.6,33.4,5.4
BRAZOS ISD,3,766,4,55.4,36.8,0,0.3,0,3.5,58.4,16.8,14.2,15,30.2,5
MULESHOE ISD,4,1347,0.7,85.7,12.5,0.1,0.6,0.1,0.4,87.6,30.5,14,30.4,32,2.7
MEDINA ISD,1,265,2.6,29.8,64.9,0,0.4,0,2.3,57,1.5,12.5,1.5,30.2,6
BANDERA ISD,4,2301,0.2,34.5,62.2,0.2,0.4,0.1,2.4,48,5.3,15.7,5.1,29.6,5.5
BASTROP ISD,14,11947,3,72.2,21.4,0.1,0.4,0.1,2.9,70.2,37.4,12.1,36.7,23.2,6.2
ELGIN ISD,8,4985,9,75.8,12.5,0.1,0.2,0.2,2.3,71.1,41.3,12.4,43.2,26.2,7.6
SMITHVILLE ISD,4,1780,6.9,33.9,54.4,0.1,0.6,0.1,4.2,45.7,8.3,12.5,7.9,22.3,7.1
MCDADE ISD,2,319,0.9,54.2,42.6,0,0,0.6,1.6,57.7,23.8,15,23.2,24.5,7.2
SEYMOUR ISD,3,618,1.6,21.8,69.1,0.3,0.2,0,7,60.5,0.6,17.3,0.6,24.1,3.1
ST MARY'S ACADEMY CHARTER SCHOOL,1,401,1,81.8,13.7,0,1.7,0,1.7,83.5,1.2,13,1.2,0,5.5
BEEVILLE ISD,5,2996,2.4,83.9,12.1,0.1,0.3,0,1.1,83.9,2.3,13.5,2.1,38.3,4.5
PAWNEE ISD,1,498,12.4,70.5,14.7,0,0.2,0.6,1.6,88,0.8,5.4,0.8,0,1.4
PETTUS ISD,2,377,1.6,70.3,27.3,0.3,0.3,0,0.3,66,0.5,13,0.5,27.1,5.3
SKIDMORE-TYNAN ISD,3,785,0.5,71.1,26.9,0.1,0.6,0.1,0.6,60.1,2.2,10.1,2,36.8,8.2
RICHARD MILBURN ALTER HIGH SCHOOL - KILLEEN,9,1590,16,62.5,17.9,0.4,0.1,0.3,2.8,97,9.3,13.5,8.9,41.4,0
PRIORITY CHARTER SCHOOLS,4,836,17.6,33.4,37.8,0.2,2.3,0.7,8,57.8,6.1,13.2,6.2,8.9,5.4
ORENDA CHARTER SCHOOL,5,1900,5.6,22.4,59.8,0.3,6.6,0.3,5.2,11.3,2.6,11.2,2.1,18.9,0
ACADEMY ISD,4,1749,6.2,23.4,63.7,0.5,1.1,0.3,4.8,36.4,5.9,10.5,5.6,24.1,7.3
BARTLETT ISD,1,394,10.7,59.9,26.1,0.3,0.5,0,2.5,88.3,22.1,9.9,22.3,28.2,0.5
BELTON ISD,17,13298,7.3,34.7,49.6,0.4,1.8,0.4,5.9,40.2,6.3,15.5,6.4,22.3,8.2
HOLLAND ISD,3,656,2.3,26.1,69.1,0,0,0,2.6,43.4,2.1,11.6,2.1,34,7.6
KILLEEN ISD,53,43839,34.2,32.8,19.1,0.5,2.3,2.1,9.2,61.9,11.2,14.4,10.4,15.2,3.1
ROGERS ISD,4,893,1.2,31.4,64.4,0.1,0.6,0,2.4,47.1,6.9,10,6.6,33.7,7.7
SALADO ISD,4,2233,1.3,24.4,69.5,0.1,0.4,0.3,4,23.4,5.6,9.1,5.6,23.2,6.4
TEMPLE ISD,17,8395,23.5,46.6,21.9,0.4,1.4,0.3,5.8,77.5,13.8,15.6,13.6,25.2,4.9
