DISTRICT NAME,TOTAL STUDENTS,SAT-AVERAGE SCORE (2021-2020),AVERAGE SALARY: TEACHER,Total OPERATING AND OTHER REVENUE PER PUPIL,Total OPERATING REVENUE (2020-21),TOTAL ACTUAL OPERATING EXPENDITURES (2020-21),TOTAL ACTUAL OPERATING EXPENDITURES PER PUPIL,TOTAL ACTUAL INSTRUCTIONAL EXPENDITURES,TOTAL ACTUAL INSTRUCTIONAL EXPENDITURES PER PUPIL
CAYUGA ISD,574,980,55570,19814,10525571,8878441,16595,4405076,8234
ELKHART ISD,1150,979,47916,13787,15623002,13694502,11412,8261144,6884
FRANKSTON ISD,808,980,50382,13845,9815575,9568092,12458,5184733,6751
NECHES ISD,342,1007,55346,14925,4573108,4709122,13932,2529704,7484
PALESTINE ISD,3360,1048,48825,17549,45806947,43017866,12660,23492731,6914
WESTWOOD ISD,1332,990,44741,13538,18204035,17289992,12788,8750034,6472
SLOCUM ISD,361,-1,53637,14588,5164875,4665786,12748,2880203,7869
ANDREWS ISD,4131,1041,62805,13569,44889510,47174612,11447,26750075,6491
PINEYWOODS COMMUNITY ACADEMY,995,1132,53037,11489,11036573,9891877,9932,5803726,5827
HUDSON ISD,2799,1109,54054,12268,32194381,28995467,10471,16963757,6126
LUFKIN ISD,7318,942,52619,14825,95191197,92600363,12520,51765304,6999
HUNTINGTON ISD,1612,1029,51033,12981,19541698,17543484,11174,9344402,5952
DIBOLL ISD,1744,957,54453,16346,22604825,22244301,13016,12305080,7200
ZAVALLA ISD,300,1028,57015,17601,4717700,4746755,15823,2752102,9174
CENTRAL ISD,1451,957,55145,12815,17719978,15359031,10636,8101586,5611
ARANSAS COUNTY ISD,3005,977,54977,13337,38429961,35981574,11958,19297890,6413
ARCHER CITY ISD,506,1056,55742,16510,7059532,6905033,13783,4087736,8159
HOLLIDAY ISD,1126,1125,56425,12906,12388827,10518615,9877,6477567,6082
WINDTHORST ISD,530,1031,53076,13389,5633549,5151685,11870,3014746,6946
CLAUDE ISD,307,,46591,13914,4232228,3922237,12452,2040243,6477
CHARLOTTE ISD,397,917,57893,19196,7132400,7042430,16808,3682513,8789
JOURDANTON ISD,1569,1006,59464,15108,20057316,17546942,11248,10140960,6501
LYTLE ISD,1740,1013,57421,12902,20841304,21392991,12183,12103399,6893
PLEASANTON ISD,3374,992,59862,15213,46926064,42593337,12414,24094826,7023
POTEET ISD,1676,867,51774,12784,18625232,17653216,11026,9770825,6103
BELLVILLE ISD,2191,1117,54109,13481,25799135,24369572,11158,13943980,6385
SEALY ISD,2814,1025,55027,12516,30655693,30000016,10703,16282010,5809
BRAZOS ISD,766,963,53874,15723,11322955,9849602,12405,5093142,6415
MULESHOE ISD,1347,895,48228,15147,19179772,19030298,14244,11016980,8246
MEDINA ISD,265,1041,46394,23733,5779760,5096844,18670,2732435,10009
BANDERA ISD,2301,1058,54438,11995,24432441,23235764,10485,12657666,5712
BASTROP ISD,11947,928,55921,12470,121266695,120831076,10650,73090356,6442
ELGIN ISD,4985,885,55622,14067,56420871,54414586,11791,28993787,6283
SMITHVILLE ISD,1780,995,52134,14639,22725386,21015106,12036,10856365,6218
MCDADE ISD,319,868,48329,14838,4763595,4244597,12785,2411650,7264
SEYMOUR ISD,618,-1,50186,14392,8427246,7554849,12264,4152604,6741
ST MARY'S ACADEMY CHARTER SCHOOL,401,,49990,13897,5433150,5233228,13384,2558403,6543
BEEVILLE ISD,2996,1011,54063,12060,36596267,34292103,10918,18257276,5813
PAWNEE ISD,498,,58281,23851,6745064,5697684,18088,2734803,8682
PETTUS ISD,377,-1,54543,20691,6108709,6003720,16139,3333308,8961
SKIDMORE-TYNAN ISD,785,1040,52851,16689,12200278,10104103,12567,5307109,6601
RICHARD MILBURN ALTER HIGH SCHOOL - KILLEEN,1590,-1,51242,9428,17499287,15183488,8181,7053916,3801
PRIORITY CHARTER SCHOOLS,836,-1,46333,12575,10508434,9350406,11052,4735670,5598
ORENDA CHARTER SCHOOL,1900,1103,53578,10828,20010043,15326275,8293,8383544,4537
ACADEMY ISD,1749,1043,51561,11840,18471582,16697912,9708,9744707,5666
BARTLETT ISD,394,913,52102,16606,6132531,5028450,13233,2618555,6891
BELTON ISD,13298,985,55968,12798,141917762,142961592,11368,77515363,6164
HOLLAND ISD,656,1034,52516,18652,11462359,9691921,14819,4975600,7608
KILLEEN ISD,43839,977,57315,12271,509570529,449899163,10271,263809826,6023
ROGERS ISD,893,1024,52342,13138,10764439,9674234,10858,5345980,6000
SALADO ISD,2233,1142,54213,12656,21026817,19801948,9425,11266365,5362
TEMPLE ISD,8395,921,55849,14320,104788890,94764360,11335,54149602,6477
TROY ISD,1636,998,53416,13348,17835545,16188626,10331,9179300,5858
POR VIDA ACADEMY,124,,52073,39319,5347318,5128909,37713,3111760,22881
GEORGE GERVIN ACADEMY,776,780,45481,14464,12583565,12293668,14131,5438960,6252
NEW FRONTIERS PUBLIC SCHOOLS INC,149,1006,54962,14547,7055533,5985561,12341,3182404,6562
LEGACY TRADITIONAL SCHOOLS - TEXAS,353,-1,45846,19158,6782038,6446730,18211,2491439,7038
SOUTHWEST PREPARATORY SCHOOL,794,962,50998,16324,13875022,13176320,15502,6610571,7777
INSPIRE ACADEMIES,636,945,60647,23245,13365826,9385262,16322,4575296,7957
BEXAR COUNTY ACADEMY,261,,37530,13931,3817189,3940749,14382,2211954,8073
POSITIVE SOLUTIONS CHARTER SCHOOL,93,,41240,14235,1693991,1585246,13321,900089,7564
HERITAGE ACADEMY,572,914,52159,14617,7789738,6395957,10366,3764894,6102
JUBILEE ACADEMIES,5764,826,50958,12526,77234031,64513201,10463,31655765,5134
LIGHTHOUSE PUBLIC SCHOOLS,408,,55196,12841,4147581,3280534,10156,1667939,5164
SCHOOL OF SCIENCE AND TECHNOLOGY,3972,1081,59578,10871,35592167,33987941,10381,21595155,6596
HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,4459,1021,61773,12466,55261076,51201033,11550,29748646,6711
BROOKS ACADEMIES OF TEXAS,3141,925,57077,12179,35542005,34857601,11321,24004186,7796
SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,5288,960,59096,10572,50798204,46804083,9741,30041663,6252
