DISTRICT NAME,TOTAL NUMBER OF SCHOOLS,TOTAL STUDENTS,TOTAL STAFF FTE,TOTAL TEACHER FTE,STAFF: % TEACHERS,STAFF: % EDUCATIONAL AIDES,STAFF: % AUXILIARY,AVERAGE SALARY: TEACHER,NUMBER OF STUDENTS PER TOTAL STAFF,NUMBER OF STUDENTS PER TEACHER,TEACHER: % WITH 5 OR FEWER YEARS OF EXPERIENCE,TEACHER: AVERAGE YEARS OF EXPERIENCE,TEACHER: % WITH ADVANCED DEGREES,TEACHER: % AFRICAN AMERICAN,TEACHER: % HISPANIC,TEACHER: % WHITE,TEACHER: % AMERICAN INDIAN,TEACHER: % ASIAN,TEACHER: % PACIFIC ISLANDER,TEACHER: % TWO OR MORE RACES,TEACHER: % REGULAR EDUCATION,TEACHER: % SPECIAL EDUCATION,TEACHER: % COMPENSATORY EDUCATION,TEACHER: % BILINGUAL/ESL EDUCATION,TEACHER: % CAREER & TECHNICAL EDUCATION,TEACHER: % OTHER EDUCATION (INCLUDES G & T),ATTENDANCE RATE (2020-21),ANNUAL DROPOUT RATE GR. 9-12 (2020-21),4-YR LONGITUDINAL GRADUATION RATE (CLASS OF 2021) DISTRICT EXCL,5-YR LONGITUDINAL GRADUATION RATE (CLASS OF 2020) DISTRICT EXCL,ANNUAL GRADUATE COUNT (2020-21),COLLEGE ADMISSIONS: % AT/ABOVE CRITERION (2020-2021),SAT-AVERAGE SCORE (2021-2020),ACT-AVERAGE SCORE (2021-2020)
CAYUGA ISD,3,574,99.9,46.7,46.8,14.8,26.5,55570,5.7,12.3,10.4,16.7,14.8,8.3,0,91.7,0,0,0,0,81.6,9.9,0,0,8.5,0,96.7,0,100,100,36,19,980,
ELKHART ISD,4,1150,186.6,104.9,56.2,16.2,19.5,47916,6.2,11,23.8,13.5,19,2.9,6.7,90.5,0,0,0,0,71.5,8.4,4.9,0.7,13,1.5,96,0.3,100,98.9,91,27.7,979,-1
FRANKSTON ISD,3,808,146.7,74.5,50.8,15,27.4,50382,5.5,10.8,32.7,12.8,30.7,4,1.3,93.3,0,0,0,1.3,87.6,7.5,2.7,0,2.2,0,95.4,0.4,95.2,100,41,36.8,980,-1
NECHES ISD,2,342,60.1,30.2,50.3,13.7,26.2,55346,5.7,11.3,9.7,14.8,9.6,6.5,0,93.5,0,0,0,0,70,5.5,12,0,10.8,1.7,95.8,0,95.8,97,23,15,1007,18.8
PALESTINE ISD,6,3360,553.4,260.3,47,19.7,19.5,48825,6.1,12.9,33.8,12.7,15.4,9.6,13.8,74.6,0,0,0,1.9,71.4,10.2,5,2.6,9,1.8,93.7,0,99,99.6,201,49.4,1048,21
WESTWOOD ISD,4,1332,265.1,120.6,45.5,19.2,25.2,44741,5,11,44.8,10.3,17.4,11.6,6.6,80.9,0.8,0,0,0,71.4,6.4,6.1,0,10.8,5.3,94.5,0,97.8,97,95,28.9,990,-1
SLOCUM ISD,2,361,68.8,39,56.7,9.8,23,53637,5.2,9.3,17.9,15.4,16.9,0,0,100,0,0,0,0,61,5.8,19.2,0,10.5,3.4,96.7,0,100,100,32,-1,-1,-1
ANDREWS ISD,6,4131,566.4,287.9,50.8,15.4,23.9,62805,7.3,14.4,21.5,13.8,24.3,1.4,25.7,69,0.3,0.7,0,2.8,41.7,14.4,6.5,9,6,22.4,92.8,0.4,96.8,97.2,293,35.8,1041,22.3
PINEYWOODS COMMUNITY ACADEMY,4,995,134.3,67.2,50,11.1,21.4,53037,7.4,14.8,35,10.2,18.5,4.4,8.9,86.7,0,0,0,0,82.7,6.8,7.4,0,3.1,0,97.3,0.4,100,100,52,60,1132,
HUDSON ISD,5,2799,427.8,212.5,49.7,8.2,31.3,54054,6.5,13.2,21.9,13.8,22.4,0.5,5.6,93.9,0,0,0,0,66.4,9.6,9.2,0.7,7.4,6.7,95.2,0.7,94.1,95.6,196,60,1109,23.1
