DISTRICT NAME,TOTAL NUMBER OF SCHOOLS,TOTAL STUDENTS,Total OPERATING AND OTHER REVENUE PER PUPIL,Total OPERATING REVENUE (2020-21),DISTRICT SIZE
CAYUGA ISD,3,574,19814,10525571,500 to 999
ELKHART ISD,4,1150,13787,15623002,"1,000 to 1,599"
FRANKSTON ISD,3,808,13845,9815575,500 to 999
NECHES ISD,2,342,14925,4573108,Under 500
PALESTINE ISD,6,3360,17549,45806947,"3,000 to 4,999"
WESTWOOD ISD,4,1332,13538,18204035,"1,000 to 1,599"
SLOCUM ISD,2,361,14588,5164875,Under 500
ANDREWS ISD,6,4131,13569,44889510,"3,000 to 4,999"
PINEYWOODS COMMUNITY ACADEMY,4,995,11489,11036573,500 to 999
HUDSON ISD,5,2799,12268,32194381,"1,600 to 2,999"
LUFKIN ISD,17,7318,14825,95191197,"5,000 to 9,999"
HUNTINGTON ISD,5,1612,12981,19541698,"1,600 to 2,999"
DIBOLL ISD,6,1744,16346,22604825,"1,600 to 2,999"
ZAVALLA ISD,2,300,17601,4717700,Under 500
CENTRAL ISD,4,1451,12815,17719978,"1,000 to 1,599"
ARANSAS COUNTY ISD,4,3005,13337,38429961,"3,000 to 4,999"
ARCHER CITY ISD,2,506,16510,7059532,500 to 999
HOLLIDAY ISD,3,1126,12906,12388827,"1,000 to 1,599"
WINDTHORST ISD,3,530,13389,5633549,500 to 999
CLAUDE ISD,1,307,13914,4232228,Under 500
CHARLOTTE ISD,3,397,19196,7132400,Under 500
JOURDANTON ISD,7,1569,15108,20057316,"1,000 to 1,599"
LYTLE ISD,5,1740,12902,20841304,"1,600 to 2,999"
PLEASANTON ISD,6,3374,15213,46926064,"3,000 to 4,999"
POTEET ISD,4,1676,12784,18625232,"1,600 to 2,999"
BELLVILLE ISD,5,2191,13481,25799135,"1,600 to 2,999"
SEALY ISD,4,2814,12516,30655693,"1,600 to 2,999"
BRAZOS ISD,3,766,15723,11322955,500 to 999
MULESHOE ISD,4,1347,15147,19179772,"1,000 to 1,599"
MEDINA ISD,1,265,23733,5779760,Under 500
BANDERA ISD,4,2301,11995,24432441,"1,600 to 2,999"
BASTROP ISD,14,11947,12470,121266695,"10,000 to 24,999"
ELGIN ISD,8,4985,14067,56420871,"3,000 to 4,999"
SMITHVILLE ISD,4,1780,14639,22725386,"1,600 to 2,999"
MCDADE ISD,2,319,14838,4763595,Under 500
SEYMOUR ISD,3,618,14392,8427246,500 to 999
