DISTRICT NAME,DISTRICT NUMBER,COUNTY NUMBER AND NAME,EDUCATION SERVICE CENTER REGION,DISTRICT ACCOUNTABILITY RATINGS,TOTAL NUMBER OF SCHOOLS,TOTAL STUDENTS,STUDENTS: % AFRICAN AMERICAN,STUDENTS: % HISPANIC,STUDENTS: % WHITE,STUDENTS: % AMERICAN INDIAN,STUDENTS: % ASIAN,STUDENTS: % PACIFIC ISLANDER,STUDENTS: % TWO OR MORE RACES,STUDENTS: % ECONOMICALLY DISADVANTAGED,STUDENTS: % ENGLISH LEARNERS (EL),STUDENTS: % SPECIAL EDUCATION,STUDENTS: % BILINGUAL/ESL EDUCATION,STUDENTS: % CAREER & TECHNICAL EDUCATION,STUDENTS: % GIFTED & TALENTED EDUCATION,ATTENDANCE RATE (2020-21),ANNUAL DROPOUT RATE GR. 9-12 (2020-21),4-YR LONGITUDINAL GRADUATION RATE (CLASS OF 2021) DISTRICT EXCL,5-YR LONGITUDINAL GRADUATION RATE (CLASS OF 2020) DISTRICT EXCL, 6-YR LONGITUDINAL GRADUATION RATE (CLASS OF 2019) DISTRICT EXCL,ANNUAL GRADUATE COUNT (2020-21),ANNUAL RHSP/DAP/FHSP-E/FHSP-DLA GRADUATE COUNT (2020-21),STAAR: % ALL SUBJECTS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ALL SUBJECTS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ALL SUBJECTS AT MASTERS GRADE LEVEL STANDARD,STAAR: % ELA/READING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MASTERS GRADE LEVEL STANDARD,STAAR: % MATHEMATICS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MASTERS GRADE LEVEL STANDARD,STAAR: % SCIENCE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MASTERS GRADE LEVEL STANDARD,STAAR: % SOCIAL STUDIES AT APPROACHES GRADE LEVEL STANDARD OR ABOVE, STAAR: % SOCIAL STUDIES AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % SOCIAL STUDIES AT MASTERS GRADE LEVEL STANDARD, STAAR: % AFRICAN AMERICAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % AFRICAN AMERICAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % AFRICAN AMERICAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % HISPANIC AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % HISPANIC AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % HISPANIC AT MASTERS GRADE LEVEL STANDARD,STAAR: % WHITE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % WHITE AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % WHITE AT MASTERS GRADE LEVEL STANDARD,STAAR: % AMERICAN INDIAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % AMERICAN INDIAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % AMERICAN INDIAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % ASIAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ASIAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ASIAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % PACIFIC ISLANDER AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % PACIFIC ISLANDER AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % PACIFIC ISLANDER AT MASTERS GRADE LEVEL STANDARD,STAAR: % TWO OR MORE RACES AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % TWO OR MORE RACES AT MEETS GRADE LEVEL STANDARD OR ABOVE, STAAR: % TWO OR MORE RACES AT MASTERS GRADE LEVEL STANDARD,STAAR: % ECONOMICALLY DISADVANTAGED AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ECONOMICALLY DISADVANTAGED AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ECONOMICALLY DISADVANTAGED AT MASTERS GRADE LEVEL STANDARD,COLLEGE ADMISSIONS: % TESTED (2020-2021),COLLEGE ADMISSIONS: % AT/ABOVE CRITERION (2020-2021),SAT-AVERAGE SCORE (2021-2020),ACT-AVERAGE SCORE (2021-2020),TOTAL STAFF FTE,TOTAL TEACHER FTE,STAFF: % CENTRAL ADMINISTRATIVE,STAFF: % SCHOOL ADMINISTRATIVE,STAFF: % PROFESSIONAL SUPPORT,STAFF: % TEACHERS,STAFF: % EDUCATIONAL AIDES,STAFF: % AUXILIARY,AVERAGE SALARY: CENTRAL ADMINISTRATIVE,AVERAGE SALARY: SCHOOL ADMINISTRATIVE,AVERAGE SALARY: PROFESSIONAL SUPPORT,AVERAGE SALARY: TEACHER,STAFF: % MINORITY,NUMBER OF STUDENTS PER TOTAL STAFF,NUMBER OF STUDENTS PER TEACHER,TEACHER: % WITH 5 OR FEWER YEARS OF EXPERIENCE,TEACHER: AVERAGE YEARS OF EXPERIENCE,TEACHER: % WITH ADVANCED DEGREES,TEACHER: TURNOVER RATE,TEACHER: % AFRICAN AMERICAN,TEACHER: % HISPANIC,TEACHER: % WHITE,TEACHER: % AMERICAN INDIAN,TEACHER: % ASIAN,TEACHER: % PACIFIC ISLANDER,TEACHER: % TWO OR MORE RACES,TEACHER: % REGULAR EDUCATION,TEACHER: % SPECIAL EDUCATION,TEACHER: % COMPENSATORY EDUCATION,TEACHER: % BILINGUAL/ESL EDUCATION,TEACHER: % CAREER & TECHNICAL EDUCATION,TEACHER: % OTHER EDUCATION (INCLUDES G & T),TAXABLE VALUE PER PUPIL (2019 TAX YEAR),LOCALLY ADOPTED TAX RATE (2020 TAX YEAR),TOTAL OPERATING AND OTHER REVENUE (2020-21),Total OPERATING AND OTHER REVENUE PER PUPIL,Total OPERATING REVENUE (2020-21),REVENUE: % STATE,REVENUE: % LOCAL AND OTHER,REVENUE: % FEDERAL,TOTAL OTHER REVENUE(2020-21),FUND BALANCE (FOR ISDS),NET ASSETS (CHARTER SCHOOLS),TOTAL ACTUAL EXPENDITURES (2020-21),TOTAL ACTUAL OPERATING EXPENDITURES (2020-21),TOTAL ACTUAL OPERATING EXPENDITURES PER PUPIL,EXPENDITURE: % INSTRUCTIONAL,EXPENDITURE: % CENTRAL ADMINISTRATIVE,EXPENDITURE: % SCHOOL LEADERSHIP,EXPENDITURE: % PLANT SERVICES,EXPENDITURE: % OTHER OPERATING,TOTAL ACTUAL INSTRUCTIONAL EXPENDITURES,TOTAL ACTUAL INSTRUCTIONAL EXPENDITURES PER PUPIL, EXPENDITURE: % BASIC EDUCATION SERVICES,EXPENDITURE: % SPECIAL EDUCATION,EXPENDITURE: % STATE COMPENSATORY EDUCATION,EXPENDITURE: % BILINGUAL/ESL EDUCATION,EXPENDITURE: % CAREER & TECHNICAL EDUCATION, EXPENDITURE: % GIFTED & TALENTED EDUCATION,EXPENDITURE: % ATHLETICS/RELATED ACTIVITIES,EXPENDITURE: % HIGH SCHOOL ALLOTMENT,EXPENDITURE: % PREKINDERGARTEN,EXPENDITURE: % UN-ALLOCATED,DISTRICT SIZE,COMMUNITY TYPE,PROPERTY WEALTH,TAX RATE
CAYUGA ISD,001902,001 ANDERSON,07,A,3,574,4.4,11.5,79.1,0,0.5,0,4.5,40.8,1,14.6,1,30.5,6.1,96.7,0,100,100,96,36,34,84,62,33,81,67,39,88,65,34,85,54,22,78,47,21,60,17,3,74,53,24,87,66,35,,,,33,33,17,,,,83,54,34,76,50,23,58.3,19,980,,99.9,46.7,1.5,5,5.4,46.8,14.8,26.5,93333,73300,59550,55570,15.6,5.7,12.3,10.4,16.7,14.8,19.1,8.3,0,91.7,0,0,0,0,81.6,9.9,0,0,8.5,0,551481,1.055,10600571,19814,10525571,47.2,34.4,18.4,75000,3306025,0,9222524,8878441,16595,49.6,9.1,3.7,10.2,27.4,4405076,8234,32.9,28.9,5.9,0.1,3.3,0,3.7,0,0,24.1,500 to 999,Rural,"$539,089 to < $573,876",Under $1.0809
ELKHART ISD,001903,001 ANDERSON,07,A,4,1150,4,11.8,80.3,0.3,0.2,0,3.4,45.4,2.8,12.1,2.7,31.8,4.6,96,0.3,100,98.9,98.8,91,79,85,59,30,85,64,34,84,49,23,86,63,29,90,63,42,46,22,8,85,56,25,88,61,32,100,100,100,-1,-1,-1,,,,77,46,23,77,42,19,51.6,27.7,979,-1,186.6,104.9,1.1,2.1,4.9,56.2,16.2,19.5,100313,79305,60616,47916,13.4,6.2,11,23.8,13.5,19,13.9,2.9,6.7,90.5,0,0,0,0,71.5,8.4,4.9,0.7,13,1.5,250124,1.244,16544197,13787,15623002,61.8,25.7,12.5,921195,6071780,0,15181525,13694502,11412,60.3,6.9,4.8,10.5,17.4,8261144,6884,44,8.8,7.6,0,6.9,0,3.8,0,0,26.8,"1,000 to 1,599",Non-metropolitan Stable,"$234,712 to < $298,152",$1.2148 to under $1.3239
FRANKSTON ISD,001904,001 ANDERSON,07,A,3,808,8.5,11.3,75.2,0.4,1,0,3.6,54.2,4.1,13.1,4.1,43.9,7.3,95.4,0.4,95.2,100,33.3,41,40,83,57,25,84,63,24,85,57,26,81,49,21,74,48,26,74,38,6,75,46,19,85,62,28,80,20,20,84,53,16,,,,75,58,28,77,49,17,92.7,36.8,980,-1,146.7,74.5,1.4,3.5,2,50.8,15,27.4,98293,71215,58022,50382,10.9,5.5,10.8,32.7,12.8,30.7,21.6,4,1.3,93.3,0,0,0,1.3,87.6,7.5,2.7,0,2.2,0,373882,1.341,10632871,13845,9815575,58.2,30.5,11.3,817296,3880100,0,10569512,9568092,12458,54.2,8.3,6.1,13.6,17.8,5184733,6751,42.5,8.4,6.1,0,5.3,0.1,6.7,0,0.2,28.6,500 to 999,Rural,"$359,962 to < $411,857",$1.3239 and over
NECHES ISD,001906,001 ANDERSON,07,A,2,342,8.2,13.5,75.1,0.3,0.3,0,2.6,54.1,2,10.5,2,29.5,5.6,95.8,0,95.8,97,100,23,17,90,64,27,87,67,30,94,69,27,90,54,23,83,51,26,88,48,19,91,69,26,89,66,29,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,86,53,17,87,15,1007,18.8,60.1,30.2,3.1,5,1.7,50.3,13.7,26.2,85537,81593,77642,55346,16.3,5.7,11.3,9.7,14.8,9.6,18.3,6.5,0,93.5,0,0,0,0,70,5.5,12,0,10.8,1.7,339519,1.37,5044735,14925,4573108,64.2,27.7,8.1,471627,930315,0,5061803,4709122,13932,53.7,10.7,8.7,10.3,16.6,2529704,7484,40.3,10.1,8.6,0.1,4.5,0,0,0,0.7,34.1,Under 500,Rural,"$298,152 to < $340,843",$1.3239 and over
PALESTINE ISD,001907,001 ANDERSON,07,B,6,3360,25.1,42.9,27.3,0.2,0.7,0.1,3.7,81.6,17.7,13.5,16.1,30.6,2.3,93.7,0,99,99.6,98.6,201,198,74,46,20,72,48,20,75,44,20,78,48,22,72,42,20,64,33,11,73,44,19,83,60,29,75,50,17,85,77,44,-1,-1,-1,74,44,18,70,40,16,43.3,49.4,1048,21,553.4,260.3,2.1,3.4,8.3,47,19.7,19.5,99324,80415,63829,48825,32.1,6.1,12.9,33.8,12.7,15.4,17.9,9.6,13.8,74.6,0,0,0,1.9,71.4,10.2,5,2.6,9,1.8,337763,1.405,59631485,17549,45806947,48.3,30.6,21.1,13824538,10006405,0,52684829,43017866,12660,54.6,8.3,6.2,10.8,20.1,23492731,6914,43.2,6.1,7.1,1,4.2,0.1,3.5,0.7,0.9,30.7,"3,000 to 4,999",Independent Town,"$298,152 to < $340,843",$1.3239 and over
WESTWOOD ISD,001908,001 ANDERSON,07,B,4,1332,19.7,26.2,48,0.7,0.5,0.1,4.9,74,7.1,14.5,6.8,38.7,3.2,94.5,0,97.8,97,97.4,95,77,69,40,16,70,45,19,66,34,14,73,41,15,68,38,15,56,26,11,69,36,12,75,48,21,,,,100,100,88,-1,-1,-1,62,38,13,65,34,14,40,28.9,990,-1,265.1,120.6,1.1,4.6,4.4,45.5,19.2,25.2,121228,69527,63612,44741,29.9,5,11,44.8,10.3,17.4,30.6,11.6,6.6,80.9,0.8,0,0,0,71.4,6.4,6.1,0,10.8,5.3,381133,1.053,18304035,13538,18204035,51.5,32.5,15.9,100000,8510495,0,17702691,17289992,12788,50.6,8.5,7,10.5,23.3,8750034,6472,36.8,9.4,8.9,0.2,4.1,0.1,4.7,0,0.8,32.4,"1,000 to 1,599",Non-metropolitan Stable,"$359,962 to < $411,857",Under $1.0809
SLOCUM ISD,001909,001 ANDERSON,07,B,2,361,0.3,8.6,87,0,0.6,0,3.6,46.8,0.6,14.7,0.6,37.7,3.3,96.7,0,100,100,100,32,27,86,55,25,86,66,31,81,42,19,96,45,16,92,73,38,-1,-1,-1,87,57,20,86,55,26,,,,,,,,,,88,50,6,81,45,17,12.5,-1,-1,-1,68.8,39,4.1,3.4,3,56.7,9.8,23,81398,84885,59419,53637,1.9,5.2,9.3,17.9,15.4,16.9,14.6,0,0,100,0,0,0,0,61,5.8,19.2,0,10.5,3.4,333729,1.131,5339355,14588,5164875,64.1,26.5,9.5,174480,1722152,0,5142712,4665786,12748,61.7,6.4,6.6,9.6,15.6,2880203,7869,40.6,9.9,13.4,0.2,6.8,0,2.3,0,0,24.4,Under 500,Rural,"$298,152 to < $340,843",$1.0809 to under $1.2148
ANDREWS ISD,002901,002 ANDREWS,18,B,6,4131,0.8,68.7,28.2,0.3,0.3,0,1.7,49.6,14.2,10.4,15.2,24.8,6.8,92.8,0.4,96.8,97.2,96.7,293,238,76,47,21,75,50,22,76,44,21,75,46,18,81,50,27,71,41,13,72,42,17,84,58,29,83,28,6,100,87,67,,,,85,58,31,67,36,14,42,35.8,1041,22.3,566.4,287.9,1.5,2.6,5.8,50.8,15.4,23.9,120931,85630,71267,62805,41.3,7.3,14.4,21.5,13.8,24.3,11.5,1.4,25.7,69,0.3,0.7,0,2.8,41.7,14.4,6.5,9,6,22.4,1155559,1.116,55916261,13569,44889510,8.8,82.8,8.3,11026751,18897268,0,60421669,47174612,11447,56.7,7.6,5,11.2,19.5,26750075,6491,41.6,10.9,10.3,2,3.6,0.5,3.5,0.1,0,26.4,"3,000 to 4,999",Other Central City Suburban,"$1,039,446 to < $1,892,208",$1.0809 to under $1.2148
PINEYWOODS COMMUNITY ACADEMY,003801,003 ANGELINA,07,A,4,995,15.7,31.2,48.5,0.1,1,0.1,3.4,57.8,5.1,11.6,5,18.9,9.2,97.3,0.4,100,100,100,52,52,82,56,30,82,60,31,81,53,29,83,57,27,82,51,32,68,38,14,81,50,24,88,67,40,-1,-1,-1,93,73,53,-1,-1,-1,74,48,13,77,48,23,9.6,60,1132,,134.3,67.2,4.5,3.1,10,50,11.1,21.4,98684,81583,62481,53037,22.2,7.4,14.8,35,10.2,18.5,17,4.4,8.9,86.7,0,0,0,0,82.7,6.8,7.4,0,3.1,0,0,0,11443349,11489,11036573,88.5,2.8,8.7,406776,0,6123738,10074769,9891877,9932,58.7,12.8,5.3,8.3,14.8,5803726,5827,51,9.2,10.7,0.3,1.5,0.8,1.1,0,0,24.5,500 to 999,Charters,Non-taxing entities,Non-taxing entities
HUDSON ISD,003902,003 ANGELINA,07,A,5,2799,7.2,27.9,60.6,0.3,1,0.1,3,50.1,6.9,11.9,6,34.4,6,95.2,0.7,94.1,95.6,95.9,196,154,86,60,31,84,62,31,88,62,33,84,52,21,87,60,36,71,37,14,81,53,24,89,66,35,62,8,0,97,82,56,-1,-1,-1,83,50,29,78,46,19,38.3,60,1109,23.1,427.8,212.5,0.9,3.9,6,49.7,8.2,31.3,133169,78880,66985,54054,18.8,6.5,13.2,21.9,13.8,22.4,9.5,0.5,5.6,93.9,0,0,0,0,66.4,9.6,9.2,0.7,7.4,6.7,203748,1.226,33970835,12268,32194381,65.5,23.9,10.7,1776454,8990200,0,34165791,28995467,10471,58.5,4.6,6.2,11.3,19.3,16963757,6126,35.7,10.3,10.3,0.7,4.9,3.7,2.2,0,1.6,26.2,"1,600 to 2,999",Non-metropolitan Stable,"$164,606 to < $234,712",$1.2148 to under $1.3239
