DISTRICT NAME,STAAR: % ALL SUBJECTS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ALL SUBJECTS AT MEETS GRADE LEVEL STANDARD OR ABOVE, STAAR: % ALL SUBJECTS AT MASTERS GRADE LEVEL STANDARD,STAAR: % ELA/READING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MASTERS GRADE LEVEL STANDARD,STAAR: % WRITING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % WRITING AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % WRITING AT MASTERS GRADE LEVEL STANDARD,STAAR: % MATHEMATICS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MASTERS GRADE LEVEL STANDARD,STAAR: % SCIENCE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MASTERS GRADE LEVEL STANDARD,STAAR: % SOCIAL STUDIES AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % SOCIAL STUDIES AT MEETS GRADE LEVEL STANDARD OR ABOVE, STAAR: % SOCIAL STUDIES AT MASTERS GRADE LEVEL STANDARD
CAYUGA ISD,85,60,30,83,64,32,76,42,13,89,67,37,86,52,21,81,54,26
ELKHART ISD,83,54,25,83,57,28,78,52,23,84,50,23,80,53,21,91,64,32
FRANKSTON ISD,79,52,23,76,52,21,67,32,4,85,55,25,80,52,24,81,62,43
NECHES ISD,83,53,23,78,52,22,73,38,7,89,58,26,93,57,31,81,51,23
PALESTINE ISD,66,38,16,64,39,15,51,23,4,69,37,17,71,43,18,70,45,24
WESTWOOD ISD,60,32,11,56,32,10,48,19,2,60,28,11,70,41,13,75,41,17
SLOCUM ISD,81,49,20,83,57,25,79,42,9,77,35,14,85,52,16,86,64,31
ANDREWS ISD,71,42,17,70,44,16,61,29,5,74,42,19,71,42,18,72,47,27
PINEYWOODS COMMUNITY ACADEMY,75,49,24,75,50,23,57,33,10,78,49,26,79,51,24,76,54,32
HUDSON ISD,84,58,28,83,57,26,70,37,13,87,64,33,90,62,28,88,60,34
LUFKIN ISD,68,42,19,67,41,16,55,29,7,68,40,19,74,48,22,79,57,37
HUNTINGTON ISD,73,44,19,71,44,18,63,31,7,76,47,22,79,47,21,70,45,20
DIBOLL ISD,72,41,16,69,40,13,56,22,5,77,46,20,78,43,16,76,44,24
ZAVALLA ISD,68,38,14,69,43,17,58,29,8,69,37,15,70,37,11,62,38,11
CENTRAL ISD,72,43,17,72,47,19,68,35,6,74,43,18,71,37,14,75,48,21
ARANSAS COUNTY ISD,60,33,13,62,37,14,54,26,7,55,27,10,61,35,12,71,47,27
ARCHER CITY ISD,87,61,31,86,65,34,90,60,19,89,57,33,94,67,29,78,54,28
HOLLIDAY ISD,84,59,27,83,61,27,74,38,10,84,57,27,88,63,23,92,75,43
WINDTHORST ISD,85,64,30,84,61,29,76,58,18,84,67,33,93,66,31,86,61,33
CLAUDE ISD,88,61,33,86,59,27,77,51,19,93,65,42,92,67,38,80,53,29
CHARLOTTE ISD,63,34,15,58,34,13,46,11,2,69,38,21,74,36,14,62,37,17
JOURDANTON ISD,74,45,21,76,45,18,55,29,8,74,46,24,80,47,21,76,56,35
LYTLE ISD,61,28,8,61,31,10,49,23,6,60,24,7,65,30,8,65,30,11
PLEASANTON ISD,66,39,16,64,39,13,42,18,6,67,36,16,76,48,19,80,52,31
POTEET ISD,58,30,10,63,35,11,56,26,6,54,27,9,59,25,7,56,30,12
BELLVILLE ISD,69,42,17,69,46,18,68,40,12,64,35,17,72,42,13,78,50,27
SEALY ISD,70,41,17,67,42,16,50,22,5,73,39,17,76,45,19,82,58,27
BRAZOS ISD,79,52,23,77,51,20,66,34,10,79,53,27,81,54,28,90,63,32
MULESHOE ISD,62,34,14,61,35,11,48,19,4,64,33,19,71,42,16,60,37,18
MEDINA ISD,77,42,15,77,48,17,68,29,6,71,31,9,83,46,13,91,64,33
BANDERA ISD,65,38,16,65,42,16,53,25,8,62,31,14,71,43,15,72,49,31
BASTROP ISD,53,29,11,53,31,10,38,15,3,52,26,10,60,34,13,61,37,19
ELGIN ISD,50,25,7,53,29,8,34,12,1,43,18,6,54,28,8,63,35,14
SMITHVILLE ISD,69,44,18,68,45,17,60,33,9,71,44,19,76,48,18,69,43,24
