"DistrictNumber",District,"CampusNumber",Campus,Region,County,"SchoolType","GradesServed","AlternativeEducationAccountability",Charter,"Number ofStudents","%EconomicallyDisadvantaged","% EB/ELStudents","OverallRating","OverallScore","StudentAchievementRating","StudentAchievementScore","SchoolProgressRating","SchoolProgressScore","AcademicGrowthRating","AcademicGrowthScore","RelativePerformanceRating","RelativePerformanceScore","Closingthe Gaps Rating","Closingthe Gaps Score","SupportLabel","PublicEducationGrant","DistinctionELA/Reading","DistinctionMathematics","DistinctionScience","DistinctionSoc Studies","DistinctionProgress","DistinctionClosing the Gaps","DistinctionPostsecondaryReadiness","US CongressDistrict","US CongressElection District","TX HouseDistrict","TX HouseElection District","TX SenateDistrict","TX SenateElection District","Campus EnrollmentType"
001902,CAYUGA ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,574,40.8%,1.0%,A,94,A,95,A,93,B,84,A,93,A,93,,,,,,,,,Earned,,,,,,,
001902,CAYUGA ISD,001902001,CAYUGA H S,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,No,169,34.3%,1.2%,A,96,A,94,A,90,A,90,B,88,A,100,,,Earned,Earned,Earned,Not Earned,Earned,Earned,Earned,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
001902,CAYUGA ISD,001902041,CAYUGA MIDDLE,REGION 07: KILGORE,ANDERSON,Middle School,06 - 08,No,No,159,39.6%,0.6%,B,84,B,86,B,82,C,74,B,82,C,79,,,Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
001902,CAYUGA ISD,001902103,CAYUGA EL,REGION 07: KILGORE,ANDERSON,Elementary,KG - 05,No,No,246,45.9%,1.2%,A,91,A,92,A,90,B,82,A,90,B,87,,,Earned,Earned,Earned,,Not Earned,Not Earned,Earned,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
001903,ELKHART ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,"1,150",45.4%,2.8%,A,91,A,93,A,92,B,85,A,92,B,87,,,,,,,,,Not Earned,,,,,,,
001903,ELKHART ISD,001903001,ELKHART H S,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,No,307,34.5%,1.3%,B,89,A,92,B,86,C,73,B,86,B,81,,,Earned,Not Earned,Earned,Earned,Not Earned,Not Earned,Not Earned,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
001903,ELKHART ISD,001903041,ELKHART MIDDLE,REGION 07: KILGORE,ANDERSON,Middle School,06 - 08,No,No,268,43.7%,1.9%,B,83,B,86,B,84,C,77,B,84,C,76,,,Not Earned,Not Earned,Not Earned,Earned,Not Earned,Not Earned,Not Earned,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
001903,ELKHART ISD,001903101,ELKHART EL,REGION 07: KILGORE,ANDERSON,Elementary,PK - 02,No,No,320,57.8%,4.1%,A,91,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
001903,ELKHART ISD,001903102,ELKHART INT,REGION 07: KILGORE,ANDERSON,Elementary,03 - 05,No,No,255,44.7%,3.9%,A,91,A,90,B,88,B,88,B,85,A,94,,,Not Earned,Not Earned,Earned,,Not Earned,Not Earned,Not Earned,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
001904,FRANKSTON ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,808,54.2%,4.1%,A,92,A,92,A,92,B,87,A,92,A,91,,,,,,,,,Not Earned,,,,,,,
001904,FRANKSTON ISD,001904001,FRANKSTON H S,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,No,232,42.2%,4.7%,A,95,A,93,A,92,A,92,B,88,A,100,,,Earned,Earned,Not Earned,Not Earned,Earned,Earned,Earned,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
001904,FRANKSTON ISD,001904041,FRANKSTON MIDDLE,REGION 07: KILGORE,ANDERSON,Middle School,06 - 08,No,No,203,52.7%,3.4%,C,79,C,79,B,80,C,75,B,80,C,77,,,Not Earned,Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
001904,FRANKSTON ISD,001904102,FRANKSTON EL,REGION 07: KILGORE,ANDERSON,Elementary,PK - 05,No,No,373,62.5%,4.0%,A,93,A,90,A,90,B,88,A,90,A,100,,,Not Earned,Earned,Earned,,Not Earned,Earned,Earned,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
001906,NECHES ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,342,54.1%,2.0%,A,97,A,95,A,94,A,92,A,94,A,100,,,,,,,,,Earned,,,,,,,
001906,NECHES ISD,001906002,NECHES H S,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,No,104,48.1%,2.9%,A,95,A,95,A,92,B,89,A,92,Not Rated,        .,,,Earned,Earned,Not Earned,Not Earned,Earned,,Earned,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
